"k","lasso_refit"
3,0.037059893207002
5,0.0449125674096947
7,0.0564127751372129
9,0.0668338339130082
11,0.0697233326156863
13,0.074025571434948
15,0.0746342496542108
17,0.0724213085593079
19,0.0735421923020688
21,0.0781011027341061
23,0.0819538177483058
25,0.0862019259721155
27,0.0839679244037735
29,0.0804655746235689
31,0.0775562595349737
33,0.0788373506624532
35,0.0751838536626633
37,0.0727483989817459
39,0.0736912088067398
41,0.0786259391563697
43,0.079505450030744
45,0.0854067894678101
47,0.084283077663787
49,0.0855650463093194
