"k","miqp"
3,0.345573899240757
12,0.370635309659637
21,0.364471676505757
30,0.359566407757622
39,0.352709366652709
48,0.352973283335184
57,0.345455694890002
66,0.34030655785362
75,0.335981764327932
84,0.3331009708328
93,0.319866538858571
102,0.317018721432044
111,0.308020783865552
120,0.301041104995227
129,0.295043381780337
138,0.290084982410892
147,0.286061343660093
156,0.278997333196609
165,0.275081610757236
174,0.26610157767057
183,0.258691303331773
192,0.253014881706746
201,0.246270758336034
210,0.241161650042324
219,0.232936910057096
228,0.231464736875436
237,0.225299309367757
246,0.223852567047571
255,0.216330197480759
264,0.214307862585871
273,0.211388676633687
